region_def,ssp,n,avg_pop(mill),pop_share
witch17,SSP1,brazil,195.22500000000002,0.024646183263184827
witch17,SSP1,canada,49.223055555555554,0.006214165439857344
witch17,SSP1,china,1122.696888888889,0.14173488678480217
witch17,SSP1,europe,577.2348333333333,0.07287302081304792
witch17,SSP1,india,1417.1032777777777,0.1789022260825766
witch17,SSP1,indonesia,245.85672222222223,0.031038185849019406
witch17,SSP1,jpnkor,150.77127777777775,0.01903412238665978
witch17,SSP1,laca,303.49983333333336,0.038315341337837795
witch17,SSP1,mena,516.5844444444444,0.06521621149283287
witch17,SSP1,mexico,123.3775,0.015575794470757257
witch17,SSP1,oceania,56.39433333333333,0.007119503518189094
witch17,SSP1,sasia,517.1739444444444,0.0652906329298089
witch17,SSP1,seasia,381.72194444444443,0.04819049301245759
witch17,SSP1,southafrica,57.803333333333335,0.007297382745838358
witch17,SSP1,ssa,1461.3014444444443,0.18448202434388256
witch17,SSP1,te,328.6241666666667,0.041487163203370786
witch17,SSP1,usa,416.5127777777777,0.05258266232587673
witch17,SSP2,brazil,216.56022222222222,0.024393819300100338
witch17,SSP2,canada,48.15211111111111,0.0054239596049059915
witch17,SSP2,china,1175.3985555555555,0.13239947611615888
witch17,SSP2,europe,567.2885,0.06390062319858923
witch17,SSP2,india,1645.9402222222222,0.18540232341678783
witch17,SSP2,indonesia,266.6878888888889,0.030040309823865845
witch17,SSP2,jpnkor,145.0081111111111,0.016334032276082225
witch17,SSP2,laca,348.0225555555555,0.039202025401829294
witch17,SSP2,mena,596.4897222222222,0.0671899130364063
witch17,SSP2,mexico,142.97577777777778,0.01610510578357045
witch17,SSP2,oceania,58.80461111111111,0.006623880612687696
witch17,SSP2,sasia,622.6486666666666,0.07013651402023952
witch17,SSP2,seasia,429.0938888888889,0.048334078534477964
witch17,SSP2,southafrica,60.721222222222224,0.006839771899800586
witch17,SSP2,ssa,1781.7171666666666,0.20069653679498994
witch17,SSP2,te,364.41872222222224,0.041048925644065724
witch17,SSP2,usa,407.73977777777776,0.04592870453544234
witch17,SSP3,brazil,250.97972222222222,0.02448122090418654
witch17,SSP3,canada,34.943999999999996,0.0034085294847782297
witch17,SSP3,china,1261.2794999999999,0.12302851317239993
witch17,SSP3,europe,468.1023333333334,0.045659930318800196
witch17,SSP3,india,2037.6141666666667,0.19875423436599005
witch17,SSP3,indonesia,294.20733333333334,0.02869775556045798
witch17,SSP3,jpnkor,123.15216666666667,0.012012585599749773
witch17,SSP3,laca,443.5813888888889,0.0432680930324707
witch17,SSP3,mena,734.901111111111,0.07168418342543796
witch17,SSP3,mexico,182.5798888888889,0.01780932161759704
witch17,SSP3,oceania,52.19533333333333,0.005091269821271023
witch17,SSP3,sasia,799.5354444444444,0.07798878595793714
witch17,SSP3,seasia,509.5369444444445,0.049701571048611955
witch17,SSP3,southafrica,62.66127777777778,0.0061121455145213615
witch17,SSP3,ssa,2267.1008888888887,0.22113897163303317
witch17,SSP3,te,413.98555555555555,0.04038123776280355
witch17,SSP3,usa,315.5712777777778,0.030781650779953547
witch17,SSP4,brazil,192.55833333333334,0.021569186458303365
witch17,SSP4,canada,43.165222222222226,0.004835099631930815
witch17,SSP4,china,1069.6968333333334,0.11982078392880077
witch17,SSP4,europe,516.170888888889,0.05781825150885516
witch17,SSP4,india,1452.8725555555557,0.16274174432473015
witch17,SSP4,indonesia,231.252,0.02590341025761321
witch17,SSP4,jpnkor,134.43622222222223,0.015058709190432428
witch17,SSP4,laca,340.8531111111111,0.03818024481818505
witch17,SSP4,mena,630.6519444444444,0.07064170708450494
witch17,SSP4,mexico,124.93061111111112,0.013993949774901157
witch17,SSP4,oceania,58.10155555555556,0.006508174762428267
witch17,SSP4,sasia,712.6393888888889,0.07982543050924383
witch17,SSP4,seasia,436.82216666666665,0.048930101330090806
witch17,SSP4,southafrica,51.46705555555556,0.005765019350349085
witch17,SSP4,ssa,2233.079944444444,0.25013572180561705
witch17,SSP4,te,328.7247222222222,0.03682169815414424
witch17,SSP4,usa,370.0506111111111,0.04145076710986972
witch17,SSP5,brazil,193.47011111111112,0.023881653836529605
witch17,SSP5,canada,63.88938888888889,0.007886408192506788
witch17,SSP5,china,1126.512,0.1390549138168742
witch17,SSP5,europe,682.2688888888889,0.08421822541116204
witch17,SSP5,india,1413.8440555555555,0.1745227421419192
witch17,SSP5,indonesia,243.40161111111112,0.03004512162848145
witch17,SSP5,jpnkor,167.7818888888889,0.020710739077326127
witch17,SSP5,laca,289.40838888888885,0.0357241277277338
witch17,SSP5,mena,519.8397777777777,0.06416822501444452
witch17,SSP5,mexico,115.39577777777777,0.014244277853871114
witch17,SSP5,oceania,68.21794444444444,0.008420718452609947
witch17,SSP5,sasia,497.9119444444444,0.06146148689327276
witch17,SSP5,seasia,377.38283333333334,0.046583558244505587
witch17,SSP5,southafrica,60.533722222222224,0.007472189844960121
witch17,SSP5,ssa,1431.491277777778,0.1767010881916891
witch17,SSP5,te,331.7371111111111,0.0409491202893661
witch17,SSP5,usa,518.1156666666667,0.06395540338274752
