region_def,ssp,approach,n,budget_share
ed57,SSP2,percapita,rsam,0.020289838511702702
ed57,SSP2,percapita,rsas,0.0701365140202395
ed57,SSP2,percapita,rsl,0.0005917532682304403
ed57,SSP2,percapita,rus,0.015150557029120618
ed57,SSP2,percapita,slo,0.00024450240525196996
ed57,SSP2,percapita,sui,0.0010143555033682863
ed57,SSP2,percapita,swe,0.0014514009713724925
ed57,SSP2,percapita,tha,0.007708080536342569
ed57,SSP2,percapita,tur,0.010323845128518146
ed57,SSP2,percapita,ukr,0.00430893326656321
ed57,SSP2,percapita,usa,0.04592870453544233
ed57,SSP2,percapita,vnm,0.010782780730216688
ed57,SSP2,percapita,zaf,0.006839771899800585
ed57,SSP3,percapita,arg,0.005694148271617845
ed57,SSP3,percapita,aus,0.0025914745253074615
ed57,SSP3,percapita,aut,0.0006794385728300114
ed57,SSP3,percapita,bel,0.0009439199812327991
ed57,SSP3,percapita,bgr,0.0006392455923332798
ed57,SSP3,percapita,blt,0.0005739245478533552
ed57,SSP3,percapita,bra,0.02448122090418654
ed57,SSP3,percapita,can,0.0034085294847782297
ed57,SSP3,percapita,chl,0.0021381668521873206
ed57,SSP3,percapita,chn,0.12034332186069496
ed57,SSP3,percapita,cor,0.003520329590026723
ed57,SSP3,percapita,cro,0.000396521608319649
ed57,SSP3,percapita,dnk,0.0005029893834065148
ed57,SSP3,percapita,egy,0.014445455816957149
ed57,SSP3,percapita,esp,0.0039241018667978515
ed57,SSP3,percapita,fin,0.00047788299556219004
ed57,SSP3,percapita,fra,0.006337030036246299
ed57,SSP3,percapita,gbr,0.005905376825855691
ed57,SSP3,percapita,golf57,0.03649847229282773
ed57,SSP3,percapita,grc,0.0008687417126024694
ed57,SSP3,percapita,hun,0.0006800942760307805
ed57,SSP3,percapita,idn,0.02869775556045798
ed57,SSP3,percapita,irl,0.00047860914621428136
ed57,SSP3,percapita,ita,0.0046595028111513555
ed57,SSP3,percapita,jpn,0.00849225600972305
ed57,SSP3,percapita,meme,0.008226593251751934
ed57,SSP3,percapita,mex,0.01780932161759704
ed57,SSP3,percapita,mys,0.0048601696667255724
ed57,SSP3,percapita,nde,0.19875423436599005
ed57,SSP3,percapita,nld,0.001452100799898296
ed57,SSP3,percapita,noan,0.005827852115192856
ed57,SSP3,percapita,noap,0.006685809948708295
ed57,SSP3,percapita,nor,0.0005188671551276181
ed57,SSP3,percapita,oeu,0.002185946481287992
ed57,SSP3,percapita,osea,0.03005396112200247
ed57,SSP3,percapita,pol,0.002750571965566804
ed57,SSP3,percapita,prt,0.0008489459787809026
ed57,SSP3,percapita,rcam,0.013224563552298648
ed57,SSP3,percapita,rcz,0.0008628674789691328
ed57,SSP3,percapita,rfa,0.0059766371323855556
ed57,SSP3,percapita,ris,0.011369259474274517
ed57,SSP3,percapita,rjan57,0.002499795295963562
ed57,SSP3,percapita,rom,0.0017955971535111204
ed57,SSP3,percapita,rsaf,0.22113897163303317
ed57,SSP3,percapita,rsam,0.02221121435636689
ed57,SSP3,percapita,rsas,0.07798878595793714
ed57,SSP3,percapita,rsl,0.0004175474630219974
ed57,SSP3,percapita,rus,0.013572763628045912
ed57,SSP3,percapita,slo,0.00016349227741491022
ed57,SSP3,percapita,sui,0.0006866025367260176
ed57,SSP3,percapita,swe,0.0009333745396733224
ed57,SSP3,percapita,tha,0.007345875472424674
ed57,SSP3,percapita,tur,0.011139058879492104
ed57,SSP3,percapita,ukr,0.0038731195881793736
ed57,SSP3,percapita,usa,0.030781650779953547
ed57,SSP3,percapita,vnm,0.010553792291975858
ed57,SSP3,percapita,zaf,0.0061121455145213615
ed57,SSP4,percapita,arg,0.004751786272832198
ed57,SSP4,percapita,aus,0.0037228214824529455
ed57,SSP4,percapita,aut,0.0009114312220123852
ed57,SSP4,percapita,bel,0.0012363583008871424
ed57,SSP4,percapita,bgr,0.0006267108665568223
ed57,SSP4,percapita,blt,0.0005687063983645442
ed57,SSP4,percapita,bra,0.02156918645830337
ed57,SSP4,percapita,can,0.004835099631930816
ed57,SSP4,percapita,chl,0.0019622262531832375
ed57,SSP4,percapita,chn,0.11666823703760847
ed57,SSP4,percapita,cor,0.004407020309224366
ed57,SSP4,percapita,cro,0.0003963234165606286
ed57,SSP4,percapita,dnk,0.0006505013484685357
ed57,SSP4,percapita,egy,0.011623003913692963
ed57,SSP4,percapita,esp,0.005300199508362816
ed57,SSP4,percapita,fin,0.0006121179604404301
ed57,SSP4,percapita,fra,0.008054095585601096
ed57,SSP4,percapita,gbr,0.007656838720888033
ed57,SSP4,percapita,golf57,0.03943388435586761
ed57,SSP4,percapita,grc,0.0011196523898821017
ed57,SSP4,percapita,hun,0.0008812808466887518
ed57,SSP4,percapita,idn,0.025903410257613214
ed57,SSP4,percapita,irl,0.0006286959996276663
ed57,SSP4,percapita,ita,0.006140109932935672
ed57,SSP4,percapita,jpn,0.010651688881208066
ed57,SSP4,percapita,meme,0.009225062731916362
ed57,SSP4,percapita,mex,0.01399394977490116
ed57,SSP4,percapita,mys,0.004127533486410119
ed57,SSP4,percapita,nde,0.16274174432473018
ed57,SSP4,percapita,nld,0.001870418515897466
ed57,SSP4,percapita,noan,0.004761699492211051
ed57,SSP4,percapita,noap,0.005598056590816974
