region_def,ssp,n,avg_pop(mill),pop_share
ed57,SSP1,arg,42.04777777777778,0.005308322381461296
ed57,SSP1,aus,36.63005555555556,0.00462436195242855
ed57,SSP1,aut,9.14111111111111,0.0011540197191629118
ed57,SSP1,bel,12.919,0.0016309593626691495
ed57,SSP1,bgr,5.761222222222222,0.0007273255920544079
ed57,SSP1,blt,5.403722222222222,0.0006821929988076999
ed57,SSP1,bra,195.22500000000002,0.024646183263184823
ed57,SSP1,can,49.223055555555554,0.006214165439857344
ed57,SSP1,chl,17.576277777777776,0.0022189174705890837
ed57,SSP1,chn,1094.6185555555558,0.13819013714178452
ed57,SSP1,cor,44.251666666666665,0.005586552369665942
ed57,SSP1,cro,3.6637777777777774,0.00046253368444971256
ed57,SSP1,dnk,6.921666666666667,0.0008738259195971022
ed57,SSP1,egy,105.79972222222221,0.013356687632644058
ed57,SSP1,esp,51.75827777777778,0.0065342246100547445
ed57,SSP1,fin,6.4736666666666665,0.000817268152395633
ed57,SSP1,fra,80.85522222222222,0.010207568829168512
ed57,SSP1,gbr,78.55494444444444,0.009917170224136664
ed57,SSP1,golf57,255.32494444444444,0.03223350171566275
ed57,SSP1,grc,11.140777777777778,0.0014064676696403024
ed57,SSP1,hun,8.917666666666667,0.001125810971682219
ed57,SSP1,idn,245.85672222222223,0.031038185849019403
ed57,SSP1,irl,6.5120000000000005,0.000822107544678497
ed57,SSP1,ita,60.19705555555556,0.007599578246261187
ed57,SSP1,jpn,106.51961111111112,0.013447570016993841
ed57,SSP1,meme,63.60177777777777,0.008029407457935544
ed57,SSP1,mex,123.3775,0.015575794470757255
ed57,SSP1,mys,37.366277777777775,0.00471730633870755
ed57,SSP1,nde,1417.1032777777777,0.17890222608257658
ed57,SSP1,nld,18.985944444444446,0.002396880861582397
ed57,SSP1,noan,41.988277777777775,0.00530081080300485
ed57,SSP1,noap,49.86972222222222,0.006295803883585654
ed57,SSP1,nor,7.413166666666667,0.0009358753449978211
ed57,SSP1,oeu,20.197166666666664,0.0025497916304968843
ed57,SSP1,osea,223.95933333333335,0.0282737496367475
ed57,SSP1,pol,34.711055555555554,0.0043820977665811845
ed57,SSP1,prt,11.19661111111111,0.0014135163497044736
ed57,SSP1,rcam,86.64811111111112,0.010938892180065286
ed57,SSP1,rcz,11.743222222222222,0.0014825232782133097
ed57,SSP1,rfa,79.0525,0.009979984133245834
ed57,SSP1,ris,86.315,0.010896838562488399
ed57,SSP1,rjan57,19.764277777777778,0.002495141565760545
ed57,SSP1,rom,15.690833333333334,0.0019808895063922268
ed57,SSP1,rsaf,1461.3014444444443,0.18448202434388253
ed57,SSP1,rsam,157.22766666666666,0.019849209305722124
ed57,SSP1,rsas,517.1739444444444,0.0652906329298089
ed57,SSP1,rsl,5.449222222222222,0.0006879371470390991
ed57,SSP1,rus,123.20605555555555,0.015554150464112447
ed57,SSP1,slo,2.228277777777778,0.00028130896387446963
ed57,SSP1,sui,9.1465,0.0011547000395273144
ed57,SSP1,swe,13.200222222222221,0.0016664622666341588
ed57,SSP1,tha,63.370000000000005,0.00800014666865423
ed57,SSP1,tur,80.50488888888889,0.01016334099187034
ed57,SSP1,ukr,35.455000000000005,0.0044760170449287635
ed57,SSP1,usa,416.5127777777777,0.052582662325876724
ed57,SSP1,vnm,88.2478888888889,0.011140856151336802
ed57,SSP1,zaf,57.803333333333335,0.007297382745838357
ed57,SSP2,arg,47.644555555555556,0.005366787431826674
ed57,SSP2,aus,36.43,0.004103555251207463
ed57,SSP2,aut,8.881111111111112,0.0010003878708909402
ed57,SSP2,bel,12.502944444444445,0.001408359136166763
ed57,SSP2,bgr,6.142166666666666,0.0006918671501177996
ed57,SSP2,blt,5.594777777777778,0.0006302080628421307
ed57,SSP2,bra,216.56022222222222,0.024393819300100334
ed57,SSP2,can,48.15211111111111,0.005423959604905991
ed57,SSP2,chl,19.385555555555555,0.0021836315755578923
ed57,SSP2,chn,1145.1416666666667,0.12899127366528867
ed57,SSP2,cor,42.20488888888889,0.004754051425380937
ed57,SSP2,cro,3.9053888888888886,0.00043991158613799835
ed57,SSP2,dnk,6.691888888888888,0.0007537890691873971
ed57,SSP2,egy,121.703,0.013708893349923193
ed57,SSP2,esp,50.74111111111111,0.005715590253969293
ed57,SSP2,fin,6.2780555555555555,0.0007071739731642105
ed57,SSP2,fra,79.6801111111111,0.008975342804468683
ed57,SSP2,gbr,77.11155555555555,0.008686015062552184
ed57,SSP2,golf57,299.9133888888889,0.03378290315351156
ed57,SSP2,grc,10.808666666666667,0.001217511964275352
ed57,SSP2,hun,8.531722222222221,0.000961031938700066
ed57,SSP2,idn,266.6878888888889,0.030040309823865838
ed57,SSP2,irl,6.327,0.0007126871829368548
ed57,SSP2,ita,58.97544444444444,0.006643123654743179
ed57,SSP2,jpn,102.80322222222223,0.011579980850701286
ed57,SSP2,meme,72.03744444444445,0.008114456037155254
ed57,SSP2,mex,142.97577777777778,0.016105105783570446
ed57,SSP2,mys,42.10927777777778,0.004743281579729721
ed57,SSP2,nde,1645.9402222222222,0.18540232341678778
ed57,SSP2,nld,18.533055555555553,0.002087604102276136
ed57,SSP2,noan,46.76116666666667,0.005267280566225292
ed57,SSP2,noap,56.07472222222222,0.006316379929590991
ed57,SSP2,nor,7.255444444444444,0.0008172692053209995
ed57,SSP2,oeu,21.452222222222222,0.0024164254501803303
ed57,SSP2,osea,256.69166666666666,0.02891431338707647
ed57,SSP2,pol,33.33844444444444,0.0037553156400518327
ed57,SSP2,prt,10.970888888888888,0.0012357850318532421
