region_def,ssp,approach,n,budget_share
ed57,SSP3,percapita,cor,0.003520329590026723
ed57,SSP3,percapita,cro,0.000396521608319649
ed57,SSP3,percapita,dnk,0.0005029893834065148
ed57,SSP3,percapita,egy,0.014445455816957149
ed57,SSP3,percapita,esp,0.0039241018667978515
ed57,SSP3,percapita,fin,0.00047788299556219004
ed57,SSP3,percapita,fra,0.006337030036246299
ed57,SSP3,percapita,gbr,0.005905376825855691
ed57,SSP3,percapita,golf57,0.03649847229282773
ed57,SSP3,percapita,grc,0.0008687417126024694
ed57,SSP3,percapita,hun,0.0006800942760307805
ed57,SSP3,percapita,idn,0.02869775556045798
ed57,SSP3,percapita,irl,0.00047860914621428136
ed57,SSP3,percapita,ita,0.0046595028111513555
ed57,SSP3,percapita,jpn,0.00849225600972305
ed57,SSP3,percapita,meme,0.008226593251751934
ed57,SSP3,percapita,mex,0.01780932161759704
ed57,SSP3,percapita,mys,0.0048601696667255724
ed57,SSP3,percapita,nde,0.19875423436599005
ed57,SSP3,percapita,nld,0.001452100799898296
ed57,SSP3,percapita,noan,0.005827852115192856
ed57,SSP3,percapita,noap,0.006685809948708295
ed57,SSP3,percapita,nor,0.0005188671551276181
ed57,SSP3,percapita,oeu,0.002185946481287992
ed57,SSP3,percapita,osea,0.03005396112200247
ed57,SSP3,percapita,pol,0.002750571965566804
ed57,SSP3,percapita,prt,0.0008489459787809026
ed57,SSP3,percapita,rcam,0.013224563552298648
ed57,SSP3,percapita,rcz,0.0008628674789691328
ed57,SSP3,percapita,rfa,0.0059766371323855556
ed57,SSP3,percapita,ris,0.011369259474274517
ed57,SSP3,percapita,rjan57,0.002499795295963562
ed57,SSP3,percapita,rom,0.0017955971535111204
ed57,SSP3,percapita,rsaf,0.22113897163303317
ed57,SSP3,percapita,rsam,0.02221121435636689
ed57,SSP3,percapita,rsas,0.07798878595793714
ed57,SSP3,percapita,rsl,0.0004175474630219974
ed57,SSP3,percapita,rus,0.013572763628045912
ed57,SSP3,percapita,slo,0.00016349227741491022
ed57,SSP3,percapita,sui,0.0006866025367260176
ed57,SSP3,percapita,swe,0.0009333745396733224
ed57,SSP3,percapita,tha,0.007345875472424674
ed57,SSP3,percapita,tur,0.011139058879492104
ed57,SSP3,percapita,ukr,0.0038731195881793736
ed57,SSP3,percapita,usa,0.030781650779953547
ed57,SSP3,percapita,vnm,0.010553792291975858
ed57,SSP3,percapita,zaf,0.0061121455145213615
ed57,SSP4,percapita,arg,0.004751786272832198
ed57,SSP4,percapita,aus,0.0037228214824529455
ed57,SSP4,percapita,aut,0.0009114312220123852
ed57,SSP4,percapita,bel,0.0012363583008871424
ed57,SSP4,percapita,bgr,0.0006267108665568223
ed57,SSP4,percapita,blt,0.0005687063983645442
ed57,SSP4,percapita,bra,0.02156918645830337
ed57,SSP4,percapita,can,0.004835099631930816
ed57,SSP4,percapita,chl,0.0019622262531832375
ed57,SSP4,percapita,chn,0.11666823703760847
ed57,SSP4,percapita,cor,0.004407020309224366
ed57,SSP4,percapita,cro,0.0003963234165606286
ed57,SSP4,percapita,dnk,0.0006505013484685357
ed57,SSP4,percapita,egy,0.011623003913692963
ed57,SSP4,percapita,esp,0.005300199508362816
ed57,SSP4,percapita,fin,0.0006121179604404301
ed57,SSP4,percapita,fra,0.008054095585601096
ed57,SSP4,percapita,gbr,0.007656838720888033
ed57,SSP4,percapita,golf57,0.03943388435586761
ed57,SSP4,percapita,grc,0.0011196523898821017
ed57,SSP4,percapita,hun,0.0008812808466887518
ed57,SSP4,percapita,idn,0.025903410257613214
ed57,SSP4,percapita,irl,0.0006286959996276663
ed57,SSP4,percapita,ita,0.006140109932935672
ed57,SSP4,percapita,jpn,0.010651688881208066
ed57,SSP4,percapita,meme,0.009225062731916362
ed57,SSP4,percapita,mex,0.01399394977490116
ed57,SSP4,percapita,mys,0.004127533486410119
ed57,SSP4,percapita,nde,0.16274174432473018
ed57,SSP4,percapita,nld,0.001870418515897466
ed57,SSP4,percapita,noan,0.004761699492211051
ed57,SSP4,percapita,noap,0.005598056590816974
ed57,SSP4,percapita,nor,0.0007077217202127688
ed57,SSP4,percapita,oeu,0.0021877535497990892
ed57,SSP4,percapita,osea,0.03179468780506058
ed57,SSP4,percapita,pol,0.0034658618750507846
ed57,SSP4,percapita,prt,0.0011345502223949562
ed57,SSP4,percapita,rcam,0.012402159309517699
ed57,SSP4,percapita,rcz,0.0011612219476038502
ed57,SSP4,percapita,rfa,0.0078643131302358
ed57,SSP4,percapita,ris,0.009685321123931069
ed57,SSP4,percapita,rjan57,0.002785353279975322
ed57,SSP4,percapita,rom,0.0016989689822459843
ed57,SSP4,percapita,rsaf,0.25013572180561705
ed57,SSP4,percapita,rsam,0.019064072982651923
ed57,SSP4,percapita,rsas,0.07982543050924384
ed57,SSP4,percapita,rsl,0.0005430676891110107
ed57,SSP4,percapita,rus,0.013425374059277956
ed57,SSP4,percapita,slo,0.00022151969254806628
ed57,SSP4,percapita,sui,0.0009278599094952321
ed57,SSP4,percapita,swe,0.0012519717769835298
ed57,SSP4,percapita,tha,0.006878112711213415
ed57,SSP4,percapita,tur,0.009519428718280416
ed57,SSP4,percapita,ukr,0.003841861013839073
ed57,SSP4,percapita,usa,0.041450767109869724
ed57,SSP4,percapita,vnm,0.009632027457414743
ed57,SSP4,percapita,zaf,0.005765019350349087
ed57,SSP5,percapita,arg,0.0050815090596668154
ed57,SSP5,percapita,aus,0.005894632527216828
ed57,SSP5,percapita,aut,0.0013590026550448346
ed57,SSP5,percapita,bel,0.001941227613242569
ed57,SSP5,percapita,bgr,0.0007360704336598374
ed57,SSP5,percapita,blt,0.0006822786930195267
ed57,SSP5,percapita,bra,0.023881653836529605
ed57,SSP5,percapita,can,0.007886408192506788
ed57,SSP5,percapita,chl,0.0021899149771615178
ed57,SSP5,percapita,chn,0.13513882846595002
ed57,SSP5,percapita,cor,0.006016363428301244
ed57,SSP5,percapita,cro,0.00046924447285235976
ed57,SSP5,percapita,dnk,0.0010539999196141274
ed57,SSP5,percapita,egy,0.012796015472133996
ed57,SSP5,percapita,esp,0.0077209457858049245
ed57,SSP5,percapita,fin,0.000971968200906912
ed57,SSP5,percapita,fra,0.01198345433537599
ed57,SSP5,percapita,gbr,0.011883441746709711
ed57,SSP5,percapita,golf57,0.03213383077846682
ed57,SSP5,percapita,grc,0.0015994333570908948
ed57,SSP5,percapita,hun,0.0012747010400918333
ed57,SSP5,percapita,idn,0.03004512162848145
ed57,SSP5,percapita,irl,0.0009877203207757027
ed57,SSP5,percapita,ita,0.008748248708183873
ed57,SSP5,percapita,jpn,0.014694375649024883
ed57,SSP5,percapita,meme,0.00837595829310468
ed57,SSP5,percapita,mex,0.014244277853871114
ed57,SSP5,percapita,mys,0.004655145738551307
ed57,SSP5,percapita,nde,0.1745227421419192
ed57,SSP5,percapita,nld,0.00280915775993554
ed57,SSP5,percapita,noan,0.004803580494563486
ed57,SSP5,percapita,noap,0.006058839976175553
ed57,SSP5,percapita,nor,0.0011797151400906928
ed57,SSP5,percapita,oeu,0.0026189527983853534
ed57,SSP5,percapita,osea,0.02742981712255155
ed57,SSP5,percapita,pol,0.004798114913572877
ed57,SSP5,percapita,prt,0.0016593558749026028
ed57,SSP5,percapita,rcam,0.00976722639176408
ed57,SSP5,percapita,rcz,0.001751070655540481
ed57,SSP5,percapita,rfa,0.011500748211978383
ed57,SSP5,percapita,ris,0.009974061257833997
ed57,SSP5,percapita,rjan57,0.002526085925393119
ed57,SSP5,percapita,rom,0.0019148254967885667
ed57,SSP5,percapita,rsaf,0.1767010881916891
ed57,SSP5,percapita,rsam,0.01868547729914139
ed57,SSP5,percapita,rsas,0.06146148689327276
ed57,SSP5,percapita,rsl,0.0007786909930784417
ed57,SSP5,percapita,rus,0.01607080370092936
ed57,SSP5,percapita,slo,0.00033665784440516826
ed57,SSP5,percapita,sui,0.0013818113405840585
ed57,SSP5,percapita,swe,0.002077387099526783
ed57,SSP5,percapita,tha,0.008083738296653261
ed57,SSP5,percapita,tur,0.009935438733192711
ed57,SSP5,percapita,ukr,0.004589250170497668
ed57,SSP5,percapita,usa,0.06395540338274752
ed57,SSP5,percapita,vnm,0.010710508864586034
ed57,SSP5,percapita,zaf,0.007472189844960121
ed57,SSP1,gdp_percapita,arg,0.018277789638670154
ed57,SSP1,gdp_percapita,aus,0.02546034164871555
ed57,SSP1,gdp_percapita,aut,0.023605626704733335
ed57,SSP1,gdp_percapita,bel,0.021999283833903826
ed57,SSP1,gdp_percapita,bgr,0.017566500611581326
ed57,SSP1,gdp_percapita,blt,0.017665245116707706
ed57,SSP1,gdp_percapita,bra,0.014386598208800309
ed57,SSP1,gdp_percapita,can,0.0212039908298653
ed57,SSP1,gdp_percapita,chl,0.018377787846575264
ed57,SSP1,gdp_percapita,chn,0.019624624689023828
ed57,SSP1,gdp_percapita,cor,0.028533026478584952
ed57,SSP1,gdp_percapita,cro,0.01296223509693373
ed57,SSP1,gdp_percapita,dnk,0.020707055232701926
ed57,SSP1,gdp_percapita,egy,0.013272919681569432
ed57,SSP1,gdp_percapita,esp,0.017090167394436386
ed57,SSP1,gdp_percapita,fin,0.021439594424463915
ed57,SSP1,gdp_percapita,fra,0.020184940116600776
ed57,SSP1,gdp_percapita,gbr,0.02291041023197497
ed57,SSP1,gdp_percapita,golf57,0.012160991970941188
ed57,SSP1,gdp_percapita,grc,0.019490146340614592
ed57,SSP1,gdp_percapita,hun,0.01598001751804153
ed57,SSP1,gdp_percapita,idn,0.015777602763134863
ed57,SSP1,gdp_percapita,irl,0.02142212133426443
ed57,SSP1,gdp_percapita,ita,0.018808597623931677
ed57,SSP1,gdp_percapita,jpn,0.022386923176443398
ed57,SSP1,gdp_percapita,meme,0.013947149502307531
ed57,SSP1,gdp_percapita,mex,0.016486359267131618
ed57,SSP1,gdp_percapita,mys,0.018815343930069978
ed57,SSP1,gdp_percapita,nde,0.011563142029417684
ed57,SSP1,gdp_percapita,nld,0.023695248186550562
ed57,SSP1,gdp_percapita,noan,0.014542067847270426
ed57,SSP1,gdp_percapita,noap,0.011907030954757578
ed57,SSP1,gdp_percapita,nor,0.02601573493769128
ed57,SSP1,gdp_percapita,oeu,0.010797133951788395
ed57,SSP1,gdp_percapita,osea,0.00962147542339516
ed57,SSP1,gdp_percapita,pol,0.016626110030429412
ed57,SSP1,gdp_percapita,prt,0.016096878355148555
ed57,SSP1,gdp_percapita,rcam,0.009763600712912011
ed57,SSP1,gdp_percapita,rcz,0.024429499914736662
ed57,SSP1,gdp_percapita,rfa,0.022524510495279145
ed57,SSP1,gdp_percapita,ris,0.011227537001104251
ed57,SSP1,gdp_percapita,rjan57,0.010721558727710016
ed57,SSP1,gdp_percapita,rom,0.016841061179957324
ed57,SSP1,gdp_percapita,rsaf,0.008062935518248299
ed57,SSP1,gdp_percapita,rsam,0.013853504718021242
ed57,SSP1,gdp_percapita,rsas,0.007697226770428966
ed57,SSP1,gdp_percapita,rsl,0.019499445667750748
ed57,SSP1,gdp_percapita,rus,0.018168846991793577
ed57,SSP1,gdp_percapita,slo,0.01854507261296883
ed57,SSP1,gdp_percapita,sui,0.026202704571115842
ed57,SSP1,gdp_percapita,swe,0.022721059768132185
ed57,SSP1,gdp_percapita,tha,0.017702336162922765
ed57,SSP1,gdp_percapita,tur,0.01631392521663269
ed57,SSP1,gdp_percapita,ukr,0.014097160708427543
ed57,SSP1,gdp_percapita,usa,0.026828166485151708
ed57,SSP1,gdp_percapita,vnm,0.010134111136471132
ed57,SSP1,gdp_percapita,zaf,0.013257522711062456
ed57,SSP2,gdp_percapita,arg,0.017301511176249937
ed57,SSP2,gdp_percapita,aus,0.02480814406623937
ed57,SSP2,gdp_percapita,aut,0.02649900976051777
