region_def,ssp,n,avg_pop(mill),pop_share
r5,SSP1,r5asia,3701.4564444444445,0.4672904283287195
r5,SSP1,r5lam,622.1023333333334,0.07853731907177987
r5,SSP1,r5maf,1977.8858888888888,0.24969823583671538
r5,SSP1,r5oecd,1181.7657222222224,0.14919203259848307
r5,SSP1,r5ref,437.8943888888889,0.055281984164302106
r5,SSP2,r5asia,4159.826611111112,0.46857201027003975
r5,SSP2,r5lam,707.5585555555556,0.07970095048550008
r5,SSP2,r5maf,2378.206888888889,0.2678864498313962
r5,SSP2,r5oecd,1158.3609444444444,0.1304803221621915
r5,SSP2,r5ref,473.71472222222224,0.05336026725087249
r5,SSP3,r5asia,4927.504444444444,0.48064171775597114
r5,SSP3,r5lam,877.1410000000001,0.08555863555425428
r5,SSP3,r5maf,3002.002,0.2928231550584711
r5,SSP3,r5oecd,929.3382777777778,0.09065009504174039
r5,SSP3,r5ref,515.9426111111111,0.05032639658956301
r5,SSP4,r5asia,3925.8982777777783,0.43975469928448147
r5,SSP4,r5lam,658.3420555555555,0.07374338105138956
r5,SSP4,r5maf,2863.731888888889,0.32077742889012195
r5,SSP4,r5oecd,1050.1712222222222,0.11763364645478225
r5,SSP4,r5ref,429.32972222222224,0.04809084431922465
r5,SSP5,r5asia,3675.2037777777773,0.4536615185442671
r5,SSP5,r5lam,598.2742777777778,0.07385005941813454
r5,SSP5,r5maf,1951.3310555555556,0.24086931320613364
r5,SSP5,r5oecd,1425.0447222222222,0.17590533525945803
r5,SSP5,r5ref,451.34855555555555,0.055713773572006735
