region_def,ssp,approach,n,budget_share
r5,SSP1,current_emis_percapita_inv,r5ref,0.15512179413092175
r5,SSP2,current_emis_percapita_inv,r5asia,0.24231536830656467
r5,SSP2,current_emis_percapita_inv,r5lam,0.2051101427962956
r5,SSP2,current_emis_percapita_inv,r5maf,0.3048894947309185
r5,SSP2,current_emis_percapita_inv,r5oecd,0.09301211278968638
r5,SSP2,current_emis_percapita_inv,r5ref,0.15467288137653484
r5,SSP3,current_emis_percapita_inv,r5asia,0.2416627052032217
r5,SSP3,current_emis_percapita_inv,r5lam,0.20474492840180664
r5,SSP3,current_emis_percapita_inv,r5maf,0.30694545363184916
r5,SSP3,current_emis_percapita_inv,r5oecd,0.09255948602755018
r5,SSP3,current_emis_percapita_inv,r5ref,0.15408742673557232
r5,SSP4,current_emis_percapita_inv,r5asia,0.24187001378731124
r5,SSP4,current_emis_percapita_inv,r5lam,0.2047529206521837
r5,SSP4,current_emis_percapita_inv,r5maf,0.30606895306688475
r5,SSP4,current_emis_percapita_inv,r5oecd,0.09284586889709537
r5,SSP4,current_emis_percapita_inv,r5ref,0.154462243596525
r5,SSP5,current_emis_percapita_inv,r5asia,0.24295702490598936
r5,SSP5,current_emis_percapita_inv,r5lam,0.2055531287005198
r5,SSP5,current_emis_percapita_inv,r5maf,0.30265300184771343
r5,SSP5,current_emis_percapita_inv,r5oecd,0.09346699639657138
r5,SSP5,current_emis_percapita_inv,r5ref,0.15536984814920604
r5,SSP1,hist_emis,r5asia,0.2063858287325156
r5,SSP1,hist_emis,r5lam,0.1816718417419545
r5,SSP1,hist_emis,r5maf,0.18345878753012262
r5,SSP1,hist_emis,r5oecd,0.2242612311365103
r5,SSP1,hist_emis,r5ref,0.20422231085889694
r5,SSP2,hist_emis,r5asia,0.2063858287325156
r5,SSP2,hist_emis,r5lam,0.1816718417419545
r5,SSP2,hist_emis,r5maf,0.18345878753012262
r5,SSP2,hist_emis,r5oecd,0.2242612311365103
r5,SSP2,hist_emis,r5ref,0.20422231085889694
r5,SSP3,hist_emis,r5asia,0.2063858287325156
r5,SSP3,hist_emis,r5lam,0.1816718417419545
r5,SSP3,hist_emis,r5maf,0.18345878753012262
r5,SSP3,hist_emis,r5oecd,0.2242612311365103
r5,SSP3,hist_emis,r5ref,0.20422231085889694
r5,SSP4,hist_emis,r5asia,0.2063858287325156
r5,SSP4,hist_emis,r5lam,0.1816718417419545
r5,SSP4,hist_emis,r5maf,0.18345878753012262
r5,SSP4,hist_emis,r5oecd,0.2242612311365103
r5,SSP4,hist_emis,r5ref,0.20422231085889694
r5,SSP5,hist_emis,r5asia,0.2063858287325156
r5,SSP5,hist_emis,r5lam,0.1816718417419545
r5,SSP5,hist_emis,r5maf,0.18345878753012262
r5,SSP5,hist_emis,r5oecd,0.2242612311365103
r5,SSP5,hist_emis,r5ref,0.20422231085889694
r5,SSP1,hist_emis_inv,r5asia,0.1926079577817671
r5,SSP1,hist_emis_inv,r5lam,0.21880965484860454
r5,SSP1,hist_emis_inv,r5maf,0.21667838059128378
r5,SSP1,hist_emis_inv,r5oecd,0.17725557282377605
r5,SSP1,hist_emis_inv,r5ref,0.1946484339545686
r5,SSP2,hist_emis_inv,r5asia,0.1926079577817671
r5,SSP2,hist_emis_inv,r5lam,0.21880965484860454
r5,SSP2,hist_emis_inv,r5maf,0.21667838059128378
r5,SSP2,hist_emis_inv,r5oecd,0.17725557282377605
r5,SSP2,hist_emis_inv,r5ref,0.1946484339545686
r5,SSP3,hist_emis_inv,r5asia,0.1926079577817671
r5,SSP3,hist_emis_inv,r5lam,0.21880965484860454
r5,SSP3,hist_emis_inv,r5maf,0.21667838059128378
r5,SSP3,hist_emis_inv,r5oecd,0.17725557282377605
r5,SSP3,hist_emis_inv,r5ref,0.1946484339545686
r5,SSP4,hist_emis_inv,r5asia,0.1926079577817671
r5,SSP4,hist_emis_inv,r5lam,0.21880965484860454
r5,SSP4,hist_emis_inv,r5maf,0.21667838059128378
r5,SSP4,hist_emis_inv,r5oecd,0.17725557282377605
r5,SSP4,hist_emis_inv,r5ref,0.1946484339545686
r5,SSP5,hist_emis_inv,r5asia,0.1926079577817671
r5,SSP5,hist_emis_inv,r5lam,0.21880965484860454
r5,SSP5,hist_emis_inv,r5maf,0.21667838059128378
r5,SSP5,hist_emis_inv,r5oecd,0.17725557282377605
r5,SSP5,hist_emis_inv,r5ref,0.1946484339545686
